iter	Passed	Remaining
398	361172	544020
399	362064	543096
400	362931	542134
401	363876	541288
402	364791	540398
403	365657	539435
404	366634	538636
405	367729	538007
406	368560	536993
407	369553	536214
408	370615	535535
409	371637	534795
410	372594	533961
411	373542	533114
412	374551	532352
413	375458	531446
414	376433	530634
415	377283	529647
416	378092	528604
417	379073	527800
418	380091	527048
419	381083	526258
420	382022	525395
421	382852	524380
422	383735	523441
423	384750	522680
424	385688	521813
425	386547	520841
426	387329	519766
427	388254	518881
428	389124	517925
429	389937	516893
430	390948	516124
431	391685	514994
432	392621	514125
433	393594	513305
434	394368	512225
435	395342	511405
436	396174	510402
437	396951	509329
438	397901	508479
439	398732	507477
440	399426	506302
441	400425	505514
442	401317	504590
443	402118	503553
444	402998	502616
445	403897	501701
446	404649	500606
447	405556	499703
448	406410	498735
449	407138	497613
450	408046	496712
451	408852	495688
452	409712	494729
453	410671	493890
454	411642	493066
455	412539	492152
456	413430	491231
457	414275	490255
458	415150	489317
459	416016	488366
460	416866	487399
461	417707	486421
462	418491	485377
463	419318	484385
464	420240	483502
465	421141	482595
466	422004	481645
467	422896	480728
468	423687	479697
469	424575	478777
470	425420	477807
471	426384	476972
472	427182	475951
473	428008	474963
474	428920	474070
475	429843	473189
476	430715	472252
477	431550	471274
478	432490	470411
479	433364	469477
480	434231	468536
481	435199	467703
482	436146	466847
483	437086	465985
484	438038	465134
485	438963	464253
486	439953	463441
487	440925	462610
488	441710	461583
489	442485	460545
490	443409	459664
491	444351	458801
492	445249	457893
493	446350	457193
494	447213	456247
495	448192	455421
496	448940	454360
497	449864	453477
498	450815	452622
499	451746	451746
500	452704	450896
501	453421	449808
502	454241	448823
503	455242	448016
504	456256	447221
505	457117	446276
506	458073	445424
507	458923	444469
508	459827	443566
509	460685	442619
510	461622	441747
511	462529	440848
512	463476	439986
513	464223	438934
514	465191	438092
515	466034	437132
516	466897	436192
517	467836	435322
518	468632	434319
519	469575	433454
520	470338	432422
521	471275	431551
522	472287	430747
523	473341	429981
524	474131	428976
525	474856	427912
526	475670	426930
527	476376	425851
528	477192	424872
529	478157	424026
530	479082	423144
531	479999	422255
532	481010	421447
533	482039	420656
534	483160	419943
535	484051	419030
536	485055	418213
537	485844	417212
538	486758	416318
539	487627	415386
540	488565	414512
541	489253	413427
542	490237	412594
543	491267	411797
544	492127	410858
545	492930	409872
546	493833	408970
547	494725	408058
548	495553	407093
549	496406	406150
550	497118	405093
551	497945	404129
552	498915	403282
553	499916	402459
554	500887	401612
555	501753	400681
556	502689	399805
557	503606	398914
558	504443	397959
559	505293	397016
560	506060	396008
561	506934	395084
562	507831	394178
563	508756	393293
564	509592	392340
565	510461	391414
566	511329	390486
567	512148	389521
568	513141	388688
569	514108	387836
570	514843	386809
571	515528	385745
572	516446	384856
573	517317	383932
574	518084	382931
575	518982	382029
576	519971	381192
577	520885	380300
578	521629	379284
579	522477	378345
580	523347	377422
581	524269	376537
582	525288	375721
583	526210	374834
584	527145	373957
585	528065	373070
586	529174	372315
587	530064	371405
588	530856	370428
589	531784	369545
590	532608	368590
591	533541	367711
592	534323	366728
593	535305	365882
594	536273	365026
595	537172	364123
596	538171	363288
597	538952	362305
598	539569	361214
599	540558	360372
600	541569	359544
601	542429	358616
602	543272	357677
603	544104	356730
604	545085	355882
605	546065	355032
606	546873	354071
607	547802	353188
608	548523	352172
609	549438	351280
610	550337	350378
611	551261	349492
612	552102	348554
613	553026	347668
614	553835	346709
615	554666	345765
616	555425	344778
617	556291	343856
618	557111	342907
619	557907	341943
620	558803	341040
621	559726	340155
622	560628	339256
623	561610	338406
624	562496	337497
625	563334	336560
626	564111	335587
627	565122	334754
628	566002	333842
629	567024	333014
630	567938	332122
631	568668	331123
632	569561	330219
633	570259	329203
634	571066	328251
635	571893	327309
636	572785	326407
637	573726	325531
638	574736	324694
639	575593	323771
640	576471	322860
641	577433	321995
642	578433	321151
643	579241	320201
644	580263	319369
645	581228	318506
646	581999	317536
647	582859	316615
648	583686	315676
649	584625	314798
650	585345	313802
651	586094	312823
652	586987	311921
653	587965	311064
654	588912	310190
655	589880	309327
656	590636	308353
657	591534	307454
658	592428	306552
659	593268	305623
660	594084	304681
661	594790	303684
662	595754	302819
663	596689	301939
664	597464	300978
665	598485	300141
666	599274	299188
667	600116	298261
668	601105	297408
669	601737	296378
670	602614	295469
671	603517	294574
672	604350	293644
673	605243	292743
674	606085	291819
675	606813	290839
676	607826	289997
677	608835	289151
678	609685	288231
679	610642	287361
680	611480	286435
681	612364	285530
682	613099	284556
683	613953	283639
684	614875	282753
685	615735	281838
686	616794	281014
687	617648	280096
688	618404	279134
689	619245	278211
690	620173	277327
691	621102	276444
692	622001	275547
693	622944	274669
694	623943	273817
695	624955	272969
696	625765	272032
697	626694	271148
698	627586	270248
699	628501	269357
700	629448	268481
701	630305	267565
702	631275	266698
703	632244	265830
704	633063	264898
705	634013	264022
706	634840	263094
707	635798	262221
708	636450	261223
709	637272	260294
710	638121	259377
711	639020	258480
712	639812	257540
713	640753	256660
714	641636	255757
715	642415	254812
716	643431	253962
717	644171	253003
718	645184	252151
719	646203	251301
720	647049	250383
721	647881	249461
722	648698	248533
723	649462	247585
724	650458	246725
725	651289	245803
726	652181	244904
727	653013	243982
728	653951	243101
729	654820	242193
730	655630	241264
731	656593	240392
732	657389	239458
733	658141	238509
734	659067	237622
735	659933	236715
736	660749	235789
737	661706	234914
738	662682	234046
739	663613	233161
740	664441	232240
741	665221	231303
742	666005	230367
743	666862	229458
744	667887	228605
745	668894	227746
746	669836	226865
747	670728	225967
748	671646	225077
749	672471	224157
750	673236	223216
751	674168	222332
752	675007	221416
753	675958	220538
754	676932	219666
755	677860	218780
756	678671	217856
757	679584	216964
758	680356	216028
759	681307	215149
760	682279	214276
761	683156	213374
762	684073	212484
763	684990	211593
764	685862	210689
765	686749	209790
766	687663	208899
767	688458	207971
768	689449	207103
769	690477	206246
770	691409	205360
771	692441	204503
772	693345	203608
773	694229	202707
774	695137	201814
775	696057	200923
776	697043	200052
777	697974	199165
778	698803	198248
779	699692	197349
780	700588	196451
781	701499	195558
782	702463	194680
783	703490	193818
784	704278	192891
785	705177	191994
786	706072	191097
787	706953	190195
788	707835	189294
789	708756	188403
790	709621	187497
791	710437	186579
792	711348	185686
793	712285	184799
794	713103	183882
795	714036	182994
796	714906	182090
797	715824	181198
798	716804	180322
799	717621	179405
800	718306	178455
801	719274	177576
802	720158	176676
803	721095	175789
804	721957	174884
805	722769	173966
806	723506	173031
807	724521	172163
808	725535	171294
809	726534	170421
810	727423	169522
811	728292	168619
812	729310	167750
813	730249	166862
814	731258	165991
815	732050	165070
816	732922	164167
817	733937	163296
818	734842	162401
819	735826	161522
820	736757	160632
821	737676	159740
822	738524	158832
823	739277	157903
824	740126	156996
825	740890	156071
826	741756	155167
827	742633	154266
828	743516	153367
829	744392	152465
830	745269	151564
831	746169	150668
832	746861	149730
833	747792	148841
834	748806	147967
835	749628	147056
836	750586	146171
837	751556	145289
838	752498	144400
839	753492	143522
840	754346	142617
841	755370	141744
842	756181	140831
843	757085	139935
844	758128	139065
845	759079	138177
846	760093	137301
847	761055	136415
848	761933	135514
849	762878	134625
850	763744	133722
851	764653	132827
852	765598	131937
853	766628	131062
854	767589	130175
855	768409	129265
856	769257	128359
857	770172	127464
858	771009	126556
859	771825	125645
860	772777	124757
861	773803	123880
862	774843	123005
863	775604	122085
864	776437	121178
865	777363	120284
866	778256	119386
867	779093	118479
868	780035	117588
869	781071	116711
870	781923	115807
871	782809	114907
872	783738	114014
873	784424	113086
874	785397	112199
875	786300	111302
876	787170	110401
877	788084	109506
878	788939	108602
879	789946	107719
880	790801	106816
881	791790	105931
882	792652	105028
883	793523	104127
884	794472	103236
885	795513	102357
886	796372	101454
887	797283	100558
888	798003	99638
889	798886	98738
890	799897	97855
891	800776	96955
892	801692	96059
893	802704	95175
894	803513	94266
895	804370	93364
896	805258	92465
897	806130	91564
898	806953	90658
899	807828	89758
900	808753	88864
901	809886	87992
902	810858	87102
903	811778	86206
904	812617	85302
905	813604	84413
906	814597	83525
907	815501	82627
908	816372	81727
909	817171	80819
910	818048	79919
911	818970	79023
912	819956	78133
913	820816	77232
914	821558	76319
915	822439	75420
916	823402	74528
917	824393	73638
918	825266	72738
919	826271	71849
920	827068	70942
921	827954	70043
922	828834	69144
923	829753	68248
924	830613	67347
925	831624	66458
926	832473	65556
927	833480	64666
928	834211	63755
929	835028	62851
930	835741	61940
931	836646	61042
932	837519	60143
933	838304	59237
934	839280	58345
935	840285	57455
936	841113	56553
937	842143	55664
938	843163	54774
939	844004	53872
940	845033	52982
941	845922	52084
942	846641	51175
943	847558	50278
944	848435	49379
945	849405	48486
946	850357	47591
947	851221	46691
948	852203	45798
949	853043	44897
950	854000	44002
951	854902	43104
952	855783	42205
953	856749	41310
954	857728	40416
955	858648	39519
956	859639	38625
957	860480	37724
958	861386	36826
959	862253	35927
960	863038	35024
961	863974	34127
962	864860	33229
963	865740	32330
964	866648	31432
965	867465	30531
966	868411	29635
967	869378	28739
968	870032	27833
969	870991	26937
970	871843	26038
971	872596	25136
972	873409	24236
973	874426	23341
974	875339	22444
975	876302	21548
976	877270	20652
977	878211	19755
978	879155	18858
979	880169	17962
980	881067	17064
981	881847	16164
982	882842	15267
983	883701	14369
984	884636	13471
985	885496	12572
986	886438	11675
987	887300	10776
988	888224	9879
989	889263	8982
990	890006	8082
991	891062	7185
992	892095	6288
993	892959	5390
994	893840	4491
995	894632	3592
996	895560	2694
997	896513	1796
998	897351	898
999	898183	0
