iter	Logloss
0	0.6497649683
1	0.6251214764
2	0.6090161581
3	0.5975707934
4	0.5899694998
5	0.5845762276
6	0.5804996195
7	0.5773219211
8	0.5740102007
9	0.5718161608
10	0.5700088369
11	0.5683555588
12	0.5670538975
13	0.5657404733
14	0.5647500756
15	0.5636594647
16	0.5627944163
17	0.5621353893
18	0.5615832902
19	0.5609293147
20	0.5603781692
21	0.5600010969
22	0.5594912912
23	0.5591545606
24	0.5585039074
25	0.5580679632
26	0.5577521528
27	0.5572344689
28	0.5569636782
29	0.5567239091
30	0.5563410452
31	0.5561313094
32	0.5559503673
33	0.5557707543
34	0.5553567543
35	0.5551626217
36	0.5549448244
37	0.5547580149
38	0.5544498707
39	0.5542579189
40	0.5540112334
41	0.5538614017
42	0.553585607
43	0.5533396297
44	0.5531450406
45	0.5530373763
46	0.5528619161
47	0.5526714069
48	0.5525506951
49	0.5523248471
50	0.5521568131
51	0.552038126
52	0.5519606863
53	0.5518349844
54	0.5517004033
55	0.5515836573
56	0.5514030525
57	0.5512713373
58	0.5511858068
59	0.5510579196
60	0.5509476597
61	0.5508389718
62	0.5506694455
63	0.5505258661
64	0.5503679585
65	0.5502958341
66	0.5502070939
67	0.5501084618
68	0.5500115257
69	0.5499060811
70	0.5498067922
71	0.5497069932
72	0.5495835519
73	0.5494770318
74	0.5494083496
75	0.5493194804
76	0.5492522048
77	0.5491917593
78	0.5491365112
79	0.5489890489
80	0.5489201215
81	0.5488294696
82	0.5487353268
83	0.5486565838
84	0.5486012045
85	0.5485197896
86	0.5484529573
87	0.5483787968
88	0.5482984633
89	0.5482149677
90	0.5481689823
91	0.5480748242
92	0.5479957517
93	0.547935304
94	0.5478334025
95	0.5477607946
96	0.547732396
97	0.5476376701
98	0.5475719463
99	0.5475019806
100	0.5474623672
101	0.5474051556
102	0.5473600669
103	0.5472965273
104	0.5472453487
105	0.5471755629
106	0.547125034
107	0.5470877706
108	0.5470237339
109	0.5469685881
110	0.5469141209
111	0.5468784971
112	0.5468363659
113	0.5467921168
114	0.5467478515
115	0.5466964493
116	0.5466512412
117	0.5466114648
118	0.5465664158
119	0.5465083551
120	0.5464680202
121	0.5464213887
122	0.5463760869
123	0.5463320477
124	0.5463067651
