Model,Accuracy,Precision,Recall,F1-Score,ROC-AUC,PR-AUC,Training Time
CatBoost,0.7295950923961125,0.33350828570148433,0.7139040363905407,0.45463072432913504,0.7967033343933272,0.45806366608333343,1251.3357009887695
CatBoost Tuned,0.7309599980964865,0.33454812372833337,0.7118899514975475,0.4551849807704101,0.7969304967474591,0.4583421219530098,1451.3699388504028
LightGBM,0.7291711280264243,0.3327675546189961,0.7118351464664456,0.4535229340980215,0.7960406208769186,0.45688830988132834,23.419667959213257
LightGBM Tuned,0.7310984354416908,0.33465195990000773,0.7116707313731401,0.45523624221071174,0.7967492957595841,0.45774960023973815,2678.7801451683044
